x,y,z,dx,dy,dz
18119.0,38079.9,708.3,0.00203,-0.00084,0.07115
18119.7,38079.7,729.5,0.00202,-0.00087,0.07001
18120.3,38079.4,750.3,0.00201,-0.00091,0.06883
18120.9,38079.1,770.8,0.00199,-0.00094,0.06762
18121.5,38078.8,790.9,0.00198,-0.00097,0.06637
18122.1,38078.5,810.6,0.00196,-0.00099,0.06510
18122.7,38078.2,829.9,0.00195,-0.00102,0.06379
18124.5,38077.2,885.5,0.00190,-0.00108,0.05969
18125.7,38076.6,920.5,0.00187,-0.00111,0.05681
18126.8,38075.9,953.7,0.00184,-0.00113,0.05382
18135.5,38070.3,1149.2,0.00166,-0.00106,0.02675
18143.2,38066.0,1206.2,0.00170,-0.00080,-0.00165
18149.7,38063.3,1159.2,0.00184,-0.00064,-0.02439
18156.8,38060.9,1032.8,0.00198,-0.00065,-0.04547
18164.3,38058.2,835.7,0.00199,-0.00087,-0.06344
18174.3,38051.8,438.0,0.00149,-0.00145,-0.08196
18175.2,38050.9,388.5,0.00138,-0.00152,-0.08328
